Provider,Model,Input Token Price,Output Token Price,Cache Read (Input) Token Price,Cache Write (Output) Token Price,Premium Request Price
GitHub Copilot,GPT-4.1,$2.00,$8.00,$0.50
GitHub Copilot,GPT-5 mini,$0.25,$2.00,$0.025
GitHub Copilot,GPT-5.2,$1.75,$14.00,$0.175
GitHub Copilot,GPT-5.2-Codex,$1.75,$14.00,$0.175
GitHub Copilot,GPT-5.3-Codex,$1.75,$14.00,$0.175
GitHub Copilot,GPT-5.4,$2.50,$15.00,$0.25,,$0.04
GitHub Copilot,GPT-5.4 mini,$0.75,$4.50,$0.075
GitHub Copilot,GPT-5.4 nano,$0.20,$1.25,$0.02
GitHub Copilot,GPT-5.5,$5.00,$30.00,$0.50
GitHub Copilot,Claude Haiku 4.5,$1.00,$5.00,$0.10,$1.25
GitHub Copilot,Claude Sonnet 4,$3.00,$15.00,$0.30,$3.75
GitHub Copilot,Claude Sonnet 4.5,$3.00,$15.00,$0.30,$3.75
GitHub Copilot,Claude Sonnet 4.6,$3.00,$15.00,$0.30,$3.75
GitHub Copilot,Claude Opus 4.5,$5.00,$25.00,$0.50,$6.25
GitHub Copilot,Claude Opus 4.6,$5.00,$25.00,$0.50,$6.25
GitHub Copilot,Claude Opus 4.7,$5.00,$25.00,$0.50,$6.25
GitHub Copilot,Gemini 2.5 Pro,$1.25,$10.00,$0.125
GitHub Copilot,Gemini 3 Flash,$0.50,$3.00,$0.05
GitHub Copilot,Gemini 3.1 Pro,$2.00,$12.00,$0.20
GitHub Copilot,Gemini 3.5 Flash,$1.50,$9.00,$0.15
GitHub Copilot,Raptor mini,$0.25,$2.00,$0.025
GitHub Copilot,Goldeneye,$1.25,$10.00,$0.125
Cursor,Auto mode,$1.25,$6.00,$0.25
Cursor,Composer 1,$1.25,$10,$0.125
Cursor,Composer 1.5,$3.5,$17.5,$0.35
Cursor,Composer 2,$0.5,$2.5,$0.2
Cursor,Composer 2 Fast,$1.5,$7.5,$0.35,,$0.04
Cursor,Composer 2.5,$0.5,$2.5,$0.2
Cursor,Composer 2.5 Fast,$3,$15,$0.5
Cursor,API Pool - Claude 4 Sonnet,$3,$15,$0.3,$3.75
Cursor,API Pool - Claude 4.6 Sonnet,$3,$15,$0.3,$3.75
Cursor,API Pool - Claude 4.5 Sonnet,$3,$15,$0.3,$3.75
Cursor,API Pool - Claude 4.7 Opus,$5,$25,$0.5,$6.25
Cursor,API Pool - Claude Opus 4.7 (fast mode),$30,$150,$3,$37.5
Cursor,API Pool - Claude 4.6 Opus,$5,$25,$0.5,$6.25
Cursor,API Pool - Claude 4.5 Opus,$5,$25,$0.5,$6.25
Cursor,API Pool - Claude 4.6 Opus (Fast mode),$30,$150,$3,$37.5
Cursor,API Pool - Claude 4.5 Haiku,$1,$5,$0.1,$1.25
Cursor,API Pool - Claude 4 Sonnet 1M,$6,$22.5,$0.6,$7.5
Cursor,API Pool - Gemini 3.1 Pro,$2,$12,$0.2
Cursor,API Pool - Gemini 3 Pro,$2,$12,$0.2
Cursor,API Pool - Gemini 3 Flash,$0.5,$3,$0.05
Cursor,API Pool - Gemini 3 Pro Image Preview,$2,$12,$0.2
Cursor,API Pool - Gemini 2.5 Flash,$0.3,$2.5,$0.03
Cursor,API Pool - GPT-5,$1.25,$10,$0.125
Cursor,API Pool - GPT-5-Codex,$1.25,$10,$0.125
Cursor,API Pool - GPT-5 Mini,$0.25,$2,$0.025
Cursor,API Pool - GPT-5 Fast,$2.5,$20,$0.25
Cursor,API Pool - GPT-5.2,$1.75,$14,$0.175
Cursor,API Pool - GPT-5.2 Codex,$1.75,$14,$0.175
Cursor,API Pool - GPT-5.5,$5,$30,$0.5
Cursor,API Pool - Long Context (>272k),$10,$45,$1
Cursor,API Pool - GPT-5.4,$2.5,$15,$0.25
Cursor,API Pool - Long Context (>272k),$5,$22.5,$0.5
Cursor,API Pool - GPT-5.4 Mini,$0.75,$4.5,$0.075
Cursor,API Pool - GPT-5.4 Nano,$0.2,$1.25,$0.02
Cursor,API Pool - GPT-5.3 Codex,$1.75,$14,$0.175
Cursor,API Pool - GPT-5.1 Codex,$1.25,$10,$0.125
Cursor,API Pool - GPT-5.1 Codex Mini,$0.25,$2,$0.025
Cursor,API Pool - GPT-5.1 Codex Max,$1.25,$10,$0.125
Cursor,API Pool - Grok 4.3,$1.25,$2.5,$0.2
Cursor,API Pool - Grok 4.20,$2,$6,$0.2
Cursor,API Pool - Kimi K2.5,$0.6,$3,$0.1
Google,Gemini 3.1 Pro Preview,$2.00,$12.00,$0.20